Date;Time;G-Force;Voltage;Temperature
15-05-2020;09:14:20;1,099632;4,194947;28,39729
15-05-2020;09:14:21;0,9348986;4,194947;28,40801
15-05-2020;09:14:21;0,9710089;4,194947;28,44019
15-05-2020;09:14:22;1,029766;4,194947;28,42947
15-05-2020;09:14:22;0,9998552;4,194947;28,41874
15-05-2020;09:14:23;1,002151;4,194947;28,41874
15-05-2020;09:14:23;1,008491;4,194947;28,41874
15-05-2020;09:14:24;1,033562;4,194947;28,38656
15-05-2020;09:14:24;0,9799849;4,194947;28,42947
15-05-2020;09:14:25;0,9921847;4,194947;28,41874
15-05-2020;09:14:33;0,9668866;4,194947;28,44019
15-05-2020;09:14:34;1,123055;4,194947;28,42947
15-05-2020;09:14:34;1,012549;4,194947;28,45091
15-05-2020;09:14:35;1,028032;4,194947;28,45091
15-05-2020;09:14:36;0,9547196;4,194947;28,45091
15-05-2020;09:14:36;1,138518;4,194947;28,45091
15-05-2020;09:14:37;1,076672;4,194947;28,45091
15-05-2020;09:14:37;0,9121314;4,194947;28,45091
15-05-2020;09:14:38;0,9002254;4,194947;28,46164
15-05-2020;09:14:38;0,9814176;4,194947;28,47237
15-05-2020;09:14:39;1,009209;4,194947;28,45091
15-05-2020;09:14:39;1,074819;4,194947;28,47237
15-05-2020;09:14:40;1,023658;4,194947;28,48309
15-05-2020;09:14:40;1,014308;4,194947;28,47237
15-05-2020;09:14:41;0,986932;4,194947;28,48309
15-05-2020;09:14:41;1,052471;4,194947;28,48309
15-05-2020;09:14:42;0,9621988;4,194947;28,46164
15-05-2020;09:14:43;1,004223;4,194947;28,46164
15-05-2020;09:14:43;0,9934731;4,194947;28,46164
15-05-2020;09:15:17;1,040756;4,194947;28,59034
15-05-2020;09:15:18;0,9972886;4,194947;28,60107
15-05-2020;09:15:19;1,018379;4,194947;28,56889
15-05-2020;09:15:19;1,005677;4,194947;28,59034
15-05-2020;09:15:20;0,9929179;4,194947;28,61179
15-05-2020;09:15:20;0,9876136;4,194947;28,59034
15-05-2020;09:15:21;0,9949084;4,194947;28,60107
15-05-2020;09:15:21;1,041535;4,194947;28,61179
15-05-2020;09:15:22;1,016107;4,194947;28,60107
15-05-2020;09:15:22;0,9957207;4,194947;28,61179
15-05-2020;09:15:23;1,008417;4,194947;28,60107
15-05-2020;09:15:24;1,005186;4,194947;28,61179
15-05-2020;09:15:24;1,010199;4,194947;28,60107
15-05-2020;09:15:25;0,6940369;4,194947;28,60107
15-05-2020;09:15:25;1,012196;4,194947;28,61179
15-05-2020;09:15:26;0,9997616;4,194947;28,63324
15-05-2020;09:15:26;1,011935;4,194947;28,62251
15-05-2020;09:15:27;0,9854695;4,194947;28,61179
15-05-2020;09:15:27;0,9561851;4,194947;28,62251
